date,state,district,pincode,demo_age_5_17,demo_age_17_
15-10-2025,Andhra Pradesh,Visakhapatnam,531113,2,18
15-10-2025,Andhra Pradesh,Visakhapatnam,531114,4,9
15-10-2025,Andhra Pradesh,Visakhapatnam,531117,0,8
15-10-2025,Andhra Pradesh,Visakhapatnam,535145,1,1
15-10-2025,Andhra Pradesh,Visakhapatnam,535183,0,0
16-10-2025,Andhra Pradesh,Visakhapatnam,530001,1,28
16-10-2025,Andhra Pradesh,Visakhapatnam,530003,0,5
16-10-2025,Andhra Pradesh,Visakhapatnam,530007,0,10
16-10-2025,Andhra Pradesh,Visakhapatnam,530011,0,16
16-10-2025,Andhra Pradesh,Visakhapatnam,530018,0,10
16-10-2025,Andhra Pradesh,Visakhapatnam,530026,3,27
16-10-2025,Andhra Pradesh,Visakhapatnam,530028,0,6
16-10-2025,Andhra Pradesh,Visakhapatnam,530029,0,2
16-10-2025,Andhra Pradesh,Visakhapatnam,531020,0,4
16-10-2025,Andhra Pradesh,Visakhapatnam,531021,0,4
16-10-2025,Andhra Pradesh,Visakhapatnam,531082,0,1
16-10-2025,Andhra Pradesh,Visakhapatnam,531084,1,17
16-10-2025,Andhra Pradesh,Visakhapatnam,531127,1,3
16-10-2025,Andhra Pradesh,Visakhapatnam,531162,5,10
17-10-2025,Andhra Pradesh,Visakhapatnam,530004,1,13
17-10-2025,Andhra Pradesh,Visakhapatnam,530012,0,14
17-10-2025,Andhra Pradesh,Visakhapatnam,530013,0,11
17-10-2025,Andhra Pradesh,Visakhapatnam,530026,4,20
17-10-2025,Andhra Pradesh,Visakhapatnam,530051,2,8
17-10-2025,Andhra Pradesh,Visakhapatnam,531011,0,5
17-10-2025,Andhra Pradesh,Visakhapatnam,531023,0,4
17-10-2025,Andhra Pradesh,Visakhapatnam,531025,1,6
17-10-2025,Andhra Pradesh,Visakhapatnam,531034,0,7
17-10-2025,Andhra Pradesh,Visakhapatnam,531035,1,6
17-10-2025,Andhra Pradesh,Visakhapatnam,531040,2,29
17-10-2025,Andhra Pradesh,Visakhapatnam,531061,1,9
17-10-2025,Andhra Pradesh,Visakhapatnam,531077,5,12
17-10-2025,Andhra Pradesh,Visakhapatnam,531084,1,11
17-10-2025,Andhra Pradesh,Visakhapatnam,531105,0,1
17-10-2025,Andhra Pradesh,Visakhapatnam,531163,5,10
17-10-2025,Andhra Pradesh,Visakhapatnam,531173,2,18
26-10-2025,Andhra Pradesh,Visakhapatnam,530013,1,14
26-10-2025,Andhra Pradesh,Visakhapatnam,530020,0,4
26-10-2025,Andhra Pradesh,Visakhapatnam,530024,1,3
26-10-2025,Andhra Pradesh,Visakhapatnam,530028,0,8
26-10-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
26-10-2025,Andhra Pradesh,Visakhapatnam,530045,2,12
26-10-2025,Andhra Pradesh,Visakhapatnam,531055,8,9
26-10-2025,Andhra Pradesh,Visakhapatnam,531085,1,1
26-10-2025,Andhra Pradesh,Visakhapatnam,531105,1,5
26-10-2025,Andhra Pradesh,Visakhapatnam,531117,1,0
26-10-2025,Andhra Pradesh,Visakhapatnam,531133,4,5
26-10-2025,Andhra Pradesh,Visakhapatnam,531162,6,11
26-10-2025,Andhra Pradesh,Visakhapatnam,531163,6,15
26-10-2025,Andhra Pradesh,Visakhapatnam,531173,7,16
26-10-2025,Andhra Pradesh,Visakhapatnam,535005,0,2
26-10-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
18-10-2025,Andhra Pradesh,Visakhapatnam,530005,1,0
18-10-2025,Andhra Pradesh,Visakhapatnam,530013,1,20
18-10-2025,Andhra Pradesh,Visakhapatnam,530022,0,7
18-10-2025,Andhra Pradesh,Visakhapatnam,530024,0,5
