date,state,district,pincode,demo_age_5_17,demo_age_17_
18-09-2025,Andhra Pradesh,Krishna,521228,3,12
18-09-2025,Andhra Pradesh,Krishna,521230,0,20
18-09-2025,Andhra Pradesh,Krishna,521235,1,13
18-09-2025,Andhra Pradesh,Krishna,521327,0,3
18-09-2025,Andhra Pradesh,Krishna,521328,1,11
18-09-2025,Andhra Pradesh,Krishna,521333,0,15
19-09-2025,Andhra Pradesh,Krishna,520007,1,33
19-09-2025,Andhra Pradesh,Krishna,520015,0,12
19-09-2025,Andhra Pradesh,Krishna,521131,0,5
19-09-2025,Andhra Pradesh,Krishna,521137,8,31
19-09-2025,Andhra Pradesh,Krishna,521165,1,12
19-09-2025,Andhra Pradesh,Krishna,521170,0,8
19-09-2025,Andhra Pradesh,Krishna,521175,2,20
19-09-2025,Andhra Pradesh,Krishna,521182,1,7
19-09-2025,Andhra Pradesh,Krishna,521190,1,14
19-09-2025,Andhra Pradesh,Krishna,521261,0,1
19-09-2025,Andhra Pradesh,Krishna,521301,10,40
19-09-2025,Andhra Pradesh,Krishna,521312,1,2
19-09-2025,Andhra Pradesh,Krishna,521369,1,3
19-09-2025,Andhra Pradesh,Krishna,521456,1,5
19-09-2025,Andhra Pradesh,Krishna,521457,0,3
20-09-2025,Andhra Pradesh,Krishna,520002,1,2
20-09-2025,Andhra Pradesh,Krishna,520008,0,2
20-09-2025,Andhra Pradesh,Krishna,520010,2,10
20-09-2025,Andhra Pradesh,Krishna,521101,2,10
20-09-2025,Andhra Pradesh,Krishna,521102,0,1
20-09-2025,Andhra Pradesh,Krishna,521108,1,4
20-09-2025,Andhra Pradesh,Krishna,521120,0,12
20-09-2025,Andhra Pradesh,Krishna,521135,0,2
20-09-2025,Andhra Pradesh,Krishna,521156,1,3
20-09-2025,Andhra Pradesh,Krishna,521163,0,8
20-09-2025,Andhra Pradesh,Krishna,521182,1,6
20-09-2025,Andhra Pradesh,Krishna,521207,2,6
20-09-2025,Andhra Pradesh,Krishna,521212,0,12
20-09-2025,Andhra Pradesh,Krishna,521215,1,11
20-09-2025,Andhra Pradesh,Krishna,521225,1,5
20-09-2025,Andhra Pradesh,Krishna,521256,1,4
20-09-2025,Andhra Pradesh,Krishna,521286,0,8
20-09-2025,Andhra Pradesh,Krishna,521311,0,4
20-09-2025,Andhra Pradesh,Krishna,521322,0,2
20-09-2025,Andhra Pradesh,Krishna,521328,1,8
20-09-2025,Andhra Pradesh,Krishna,521331,3,3
20-09-2025,Andhra Pradesh,Krishna,521343,0,5
20-09-2025,Andhra Pradesh,Krishna,521345,0,1
20-09-2025,Andhra Pradesh,Krishna,521356,0,3
20-09-2025,Andhra Pradesh,Krishna,521401,0,3
20-09-2025,Andhra Pradesh,Krishna,521457,0,2
13-10-2025,Andhra Pradesh,Krishna,520003,0,8
13-10-2025,Andhra Pradesh,Krishna,520007,0,7
13-10-2025,Andhra Pradesh,Krishna,520010,0,4
13-10-2025,Andhra Pradesh,Krishna,521101,0,2
13-10-2025,Andhra Pradesh,Krishna,521102,0,2
13-10-2025,Andhra Pradesh,Krishna,521104,0,3
13-10-2025,Andhra Pradesh,Krishna,521108,0,6
13-10-2025,Andhra Pradesh,Krishna,521111,0,3
13-10-2025,Andhra Pradesh,Krishna,521132,0,1
13-10-2025,Andhra Pradesh,Krishna,521149,0,2
13-10-2025,Andhra Pradesh,Krishna,521150,0,3
13-10-2025,Andhra Pradesh,Krishna,521162,0,3
13-10-2025,Andhra Pradesh,Krishna,521165,0,4
13-10-2025,Andhra Pradesh,Krishna,521175,2,6
13-10-2025,Andhra Pradesh,Krishna,521178,0,6
13-10-2025,Andhra Pradesh,Krishna,521181,0,7
13-10-2025,Andhra Pradesh,Krishna,521185,1,12
13-10-2025,Andhra Pradesh,Krishna,521201,0,6
13-10-2025,Andhra Pradesh,Krishna,521241,0,2
13-10-2025,Andhra Pradesh,Krishna,521345,0,2
15-10-2025,Andhra Pradesh,Krishna,520011,1,9
15-10-2025,Andhra Pradesh,Krishna,520013,0,10
15-10-2025,Andhra Pradesh,Krishna,521001,6,31
15-10-2025,Andhra Pradesh,Krishna,521106,2,3
15-10-2025,Andhra Pradesh,Krishna,521107,1,2
15-10-2025,Andhra Pradesh,Krishna,521121,0,2
15-10-2025,Andhra Pradesh,Krishna,521133,1,5
15-10-2025,Andhra Pradesh,Krishna,521136,1,6
15-10-2025,Andhra Pradesh,Krishna,521138,0,6
15-10-2025,Andhra Pradesh,Krishna,521150,0,3
15-10-2025,Andhra Pradesh,Krishna,521162,2,3
15-10-2025,Andhra Pradesh,Krishna,521170,3,6
15-10-2025,Andhra Pradesh,Krishna,521183,1,4
15-10-2025,Andhra Pradesh,Krishna,521211,2,20
15-10-2025,Andhra Pradesh,Krishna,521246,0,2
15-10-2025,Andhra Pradesh,Krishna,521286,3,3
15-10-2025,Andhra Pradesh,Krishna,521331,1,1
15-10-2025,Andhra Pradesh,Krishna,521401,0,7
16-10-2025,Andhra Pradesh,Krishna,520012,1,16
16-10-2025,Andhra Pradesh,Krishna,520013,2,8
16-10-2025,Andhra Pradesh,Krishna,521104,0,4
16-10-2025,Andhra Pradesh,Krishna,521131,0,6
16-10-2025,Andhra Pradesh,Krishna,521135,0,2
16-10-2025,Andhra Pradesh,Krishna,521136,2,4
16-10-2025,Andhra Pradesh,Krishna,521139,2,4
16-10-2025,Andhra Pradesh,Krishna,521149,0,2
16-10-2025,Andhra Pradesh,Krishna,521165,1,12
16-10-2025,Andhra Pradesh,Krishna,521181,0,5
16-10-2025,Andhra Pradesh,Krishna,521214,1,11
16-10-2025,Andhra Pradesh,Krishna,521215,5,14
16-10-2025,Andhra Pradesh,Krishna,521225,0,4
16-10-2025,Andhra Pradesh,Krishna,521260,0,4
16-10-2025,Andhra Pradesh,Krishna,521261,1,1
16-10-2025,Andhra Pradesh,Krishna,521286,0,3
16-10-2025,Andhra Pradesh,Krishna,521324,3,18
16-10-2025,Andhra Pradesh,Krishna,521325,1,8
16-10-2025,Andhra Pradesh,Krishna,521327,0,1
16-10-2025,Andhra Pradesh,Krishna,521340,1,2
16-10-2025,Andhra Pradesh,Krishna,521344,0,2
16-10-2025,Andhra Pradesh,Krishna,521366,1,15
17-10-2025,Andhra Pradesh,Krishna,520011,1,5
17-10-2025,Andhra Pradesh,Krishna,520015,1,20
17-10-2025,Andhra Pradesh,Krishna,521120,3,6
17-10-2025,Andhra Pradesh,Krishna,521125,0,1
17-10-2025,Andhra Pradesh,Krishna,521132,0,3
17-10-2025,Andhra Pradesh,Krishna,521151,3,15
17-10-2025,Andhra Pradesh,Krishna,521164,0,4
17-10-2025,Andhra Pradesh,Krishna,521183,0,5
17-10-2025,Andhra Pradesh,Krishna,521185,5,17
17-10-2025,Andhra Pradesh,Krishna,521190,2,11
17-10-2025,Andhra Pradesh,Krishna,521212,0,3
17-10-2025,Andhra Pradesh,Krishna,521229,1,4
17-10-2025,Andhra Pradesh,Krishna,521263,0,2
17-10-2025,Andhra Pradesh,Krishna,521325,0,6
17-10-2025,Andhra Pradesh,Krishna,521330,0,3
17-10-2025,Andhra Pradesh,Krishna,521332,0,3
17-10-2025,Andhra Pradesh,Krishna,521401,1,9
17-10-2025,Andhra Pradesh,Krishna,521402,0,6
17-10-2025,Andhra Pradesh,Krishna,521403,1,6
17-10-2025,Andhra Pradesh,Krishna,521457,0,2
11-11-2025,Andhra Pradesh,Krishna,521390,0,1
13-11-2025,Andhra Pradesh,Krishna,521138,0,1
16-11-2025,Andhra Pradesh,Krishna,521108,0,2
16-11-2025,Andhra Pradesh,Krishna,521181,1,2
16-11-2025,Andhra Pradesh,Krishna,521256,0,1
16-11-2025,Andhra Pradesh,Krishna,521260,0,2
16-11-2025,Andhra Pradesh,Krishna,521343,0,1
16-11-2025,Andhra Pradesh,Krishna,521345,0,1
16-11-2025,Andhra Pradesh,Krishna,521403,1,0
19-11-2025,Andhra Pradesh,Krishna,520002,0,1
01-12-2025,Andhra Pradesh,Krishna,521131,2,2
01-12-2025,Andhra Pradesh,Krishna,521356,1,3
