date,state,district,pincode,bio_age_5_17,bio_age_17_
27-08-2025,Andhra Pradesh,Srikakulam,532401,0,1
27-08-2025,Andhra Pradesh,Srikakulam,532459,1,0
27-08-2025,Andhra Pradesh,Srikakulam,532460,0,1
26-08-2025,Andhra Pradesh,Srikakulam,535557,0,2
28-08-2025,Andhra Pradesh,Srikakulam,532219,0,2
19-08-2025,Andhra Pradesh,Srikakulam,535128,0,1
20-08-2025,Andhra Pradesh,Srikakulam,532428,0,3
09-09-2025,Andhra Pradesh,Srikakulam,532291,2,5
07-09-2025,Andhra Pradesh,Srikakulam,532122,0,3
07-09-2025,Andhra Pradesh,Srikakulam,532168,0,2
07-09-2025,Andhra Pradesh,Srikakulam,532201,0,2
07-09-2025,Andhra Pradesh,Srikakulam,532263,1,1
07-09-2025,Andhra Pradesh,Srikakulam,532284,0,1
07-09-2025,Andhra Pradesh,Srikakulam,532312,0,3
07-09-2025,Andhra Pradesh,Srikakulam,532403,0,2
07-09-2025,Andhra Pradesh,Srikakulam,532445,0,1
02-09-2025,Andhra Pradesh,Srikakulam,532428,0,2
31-08-2025,Andhra Pradesh,Srikakulam,532127,0,2
31-08-2025,Andhra Pradesh,Srikakulam,532168,0,2
31-08-2025,Andhra Pradesh,Srikakulam,532212,0,1
31-08-2025,Andhra Pradesh,Srikakulam,532455,0,3
15-08-2025,Andhra Pradesh,Srikakulam,532214,0,2
15-08-2025,Andhra Pradesh,Srikakulam,532220,0,1
15-08-2025,Andhra Pradesh,Srikakulam,532421,0,1
15-08-2025,Andhra Pradesh,Srikakulam,532462,0,1
16-08-2025,Andhra Pradesh,Srikakulam,532421,1,4
16-08-2025,Andhra Pradesh,Srikakulam,532461,1,0
05-09-2025,Andhra Pradesh,Srikakulam,532404,1,4
05-09-2025,Andhra Pradesh,Srikakulam,532408,0,2
05-09-2025,Andhra Pradesh,Srikakulam,532425,0,1
05-09-2025,Andhra Pradesh,Srikakulam,532474,1,1
10-09-2025,Andhra Pradesh,Srikakulam,532216,2,1
12-09-2025,Andhra Pradesh,Srikakulam,532474,0,2
12-09-2025,Andhra Pradesh,Srikakulam,535128,0,1
01-09-2025,Andhra Pradesh,Srikakulam,532220,1,8
10-08-2025,Andhra Pradesh,Srikakulam,532168,1,2
10-08-2025,Andhra Pradesh,Srikakulam,532222,0,2
10-08-2025,Andhra Pradesh,Srikakulam,532407,0,1
10-08-2025,Andhra Pradesh,Srikakulam,532408,0,1
10-08-2025,Andhra Pradesh,Srikakulam,532458,0,1
