date,state,district,pincode,bio_age_5_17,bio_age_17_
02-10-2025,Andhra Pradesh,Visakhapatnam,530045,0,1
02-10-2025,Andhra Pradesh,Visakhapatnam,530048,0,1
02-10-2025,Andhra Pradesh,Visakhapatnam,531027,0,1
02-10-2025,Andhra Pradesh,Visakhapatnam,531111,0,1
01-10-2025,Andhra Pradesh,Visakhapatnam,535183,1,0
25-09-2025,Andhra Pradesh,Visakhapatnam,531019,2,2
28-09-2025,Andhra Pradesh,Visakhapatnam,530003,0,1
28-09-2025,Andhra Pradesh,Visakhapatnam,530028,0,1
28-09-2025,Andhra Pradesh,Visakhapatnam,530052,0,1
28-09-2025,Andhra Pradesh,Visakhapatnam,531036,0,1
28-09-2025,Andhra Pradesh,Visakhapatnam,531116,1,2
27-09-2025,Andhra Pradesh,Visakhapatnam,530049,0,2
27-09-2025,Andhra Pradesh,Visakhapatnam,531105,0,3
19-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
20-09-2025,Andhra Pradesh,Visakhapatnam,530053,0,2
21-09-2025,Andhra Pradesh,Visakhapatnam,530001,0,4
21-09-2025,Andhra Pradesh,Visakhapatnam,530053,0,4
21-09-2025,Andhra Pradesh,Visakhapatnam,531024,0,1
14-09-2025,Andhra Pradesh,Visakhapatnam,530032,1,0
14-09-2025,Andhra Pradesh,Visakhapatnam,531002,1,1
14-09-2025,Andhra Pradesh,Visakhapatnam,531083,0,3
13-09-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
20-10-2025,Andhra Pradesh,Visakhapatnam,530002,0,1
20-10-2025,Andhra Pradesh,Visakhapatnam,530017,0,3
20-10-2025,Andhra Pradesh,Visakhapatnam,530051,0,2
20-10-2025,Andhra Pradesh,Visakhapatnam,530052,0,1
20-10-2025,Andhra Pradesh,Visakhapatnam,531021,0,1
20-10-2025,Andhra Pradesh,Visakhapatnam,531022,0,2
20-10-2025,Andhra Pradesh,Visakhapatnam,531060,0,2
20-10-2025,Andhra Pradesh,Visakhapatnam,531114,0,1
20-10-2025,Andhra Pradesh,Visakhapatnam,531115,0,2
26-10-2025,Andhra Pradesh,Visakhapatnam,530028,0,2
27-10-2025,Andhra Pradesh,Visakhapatnam,530028,1,3
08-10-2025,Andhra Pradesh,Visakhapatnam,530020,0,8
24-10-2025,Andhra Pradesh,Visakhapatnam,530014,0,1
03-10-2025,Andhra Pradesh,Visakhapatnam,535250,0,2
05-10-2025,Andhra Pradesh,Visakhapatnam,530012,1,7
05-10-2025,Andhra Pradesh,Visakhapatnam,530022,0,2
05-10-2025,Andhra Pradesh,Visakhapatnam,530040,1,3
05-10-2025,Andhra Pradesh,Visakhapatnam,530043,0,1
05-10-2025,Andhra Pradesh,Visakhapatnam,530048,1,2
05-10-2025,Andhra Pradesh,Visakhapatnam,531060,0,1
05-10-2025,Andhra Pradesh,Visakhapatnam,531081,0,1
05-10-2025,Andhra Pradesh,Visakhapatnam,531082,0,2
05-10-2025,Andhra Pradesh,Visakhapatnam,531127,0,1
06-10-2025,Andhra Pradesh,Visakhapatnam,530053,0,5
11-09-2025,Andhra Pradesh,Visakhapatnam,530035,0,1
11-09-2025,Andhra Pradesh,Visakhapatnam,530053,1,2
09-09-2025,Andhra Pradesh,Visakhapatnam,531019,1,1
09-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
12-09-2025,Andhra Pradesh,Visakhapatnam,535250,0,1
03-09-2025,Andhra Pradesh,Visakhapatnam,531082,1,2
07-09-2025,Andhra Pradesh,Visakhapatnam,531083,0,1
07-09-2025,Andhra Pradesh,Visakhapatnam,531114,0,3
05-09-2025,Andhra Pradesh,Visakhapatnam,530032,0,2
04-09-2025,Andhra Pradesh,Visakhapatnam,531034,0,5
31-08-2025,Andhra Pradesh,Visakhapatnam,530043,0,1
31-08-2025,Andhra Pradesh,Visakhapatnam,531077,1,1
24-06-2025,Andhra Pradesh,Visakhapatnam,530003,0,3
05-06-2025,Andhra Pradesh,Visakhapatnam,530014,0,2
08-06-2025,Andhra Pradesh,Visakhapatnam,530013,1,5
08-06-2025,Andhra Pradesh,Visakhapatnam,531033,0,1
08-06-2025,Andhra Pradesh,Visakhapatnam,531055,0,1
08-06-2025,Andhra Pradesh,Visakhapatnam,531115,0,1
07-06-2025,Andhra Pradesh,Visakhapatnam,530003,0,1
07-06-2025,Andhra Pradesh,Visakhapatnam,531036,0,1
21-10-2025,Andhra Pradesh,Visakhapatnam,530012,5,9
21-10-2025,Andhra Pradesh,Visakhapatnam,530014,0,2
21-10-2025,Andhra Pradesh,Visakhapatnam,530016,8,19
21-10-2025,Andhra Pradesh,Visakhapatnam,530027,5,14
21-10-2025,Andhra Pradesh,Visakhapatnam,530032,3,4
21-10-2025,Andhra Pradesh,Visakhapatnam,531001,9,13
21-10-2025,Andhra Pradesh,Visakhapatnam,531023,0,1
21-10-2025,Andhra Pradesh,Visakhapatnam,531025,8,8
21-10-2025,Andhra Pradesh,Visakhapatnam,531026,4,6
21-10-2025,Andhra Pradesh,Visakhapatnam,531032,3,9
21-10-2025,Andhra Pradesh,Visakhapatnam,531033,8,12
21-10-2025,Andhra Pradesh,Visakhapatnam,531105,5,7
21-10-2025,Andhra Pradesh,Visakhapatnam,531113,7,17
21-10-2025,Andhra Pradesh,Visakhapatnam,531115,13,13
21-10-2025,Andhra Pradesh,Visakhapatnam,531126,14,24
21-10-2025,Andhra Pradesh,Visakhapatnam,531151,13,31
21-10-2025,Andhra Pradesh,Visakhapatnam,531162,6,20
21-10-2025,Andhra Pradesh,Visakhapatnam,531163,15,14
21-10-2025,Andhra Pradesh,Visakhapatnam,531173,14,22
21-10-2025,Andhra Pradesh,Visakhapatnam,535183,0,2
19-10-2025,Andhra Pradesh,Visakhapatnam,530016,6,9
19-10-2025,Andhra Pradesh,Visakhapatnam,530026,3,4
19-10-2025,Andhra Pradesh,Visakhapatnam,530040,4,6
19-10-2025,Andhra Pradesh,Visakhapatnam,531002,1,0
19-10-2025,Andhra Pradesh,Visakhapatnam,531035,2,1
19-10-2025,Andhra Pradesh,Visakhapatnam,531036,0,1
19-10-2025,Andhra Pradesh,Visakhapatnam,531077,0,1
19-10-2025,Andhra Pradesh,Visakhapatnam,531163,1,0
19-10-2025,Andhra Pradesh,Visakhapatnam,535183,0,1
29-06-2025,Andhra Pradesh,Visakhapatnam,530009,0,1
29-06-2025,Andhra Pradesh,Visakhapatnam,530049,2,0
23-06-2025,Andhra Pradesh,Visakhapatnam,530032,0,3
09-06-2025,Andhra Pradesh,Visakhapatnam,530049,0,2
09-06-2025,Andhra Pradesh,Visakhapatnam,531023,1,2
01-06-2025,Andhra Pradesh,Visakhapatnam,530051,0,1
01-06-2025,Andhra Pradesh,Visakhapatnam,530053,0,2
15-06-2025,Andhra Pradesh,Visakhapatnam,530029,0,1
15-06-2025,Andhra Pradesh,Visakhapatnam,530052,1,1
15-06-2025,Andhra Pradesh,Visakhapatnam,531027,0,1
15-06-2025,Andhra Pradesh,Visakhapatnam,531040,0,3
15-06-2025,Andhra Pradesh,Visakhapatnam,531081,1,2
19-06-2025,Andhra Pradesh,Visakhapatnam,530043,1,1
